you	Y UW 
ung	AH NG 
unregistered	AH N R EH JH IH S T ER D 
unresponsive	AH N R IY S P AA N S IH V 
ursa	ER S AH 
validation	V AE L AH D EY SH AH N 
vestibule	V EH S T IH B Y UW L 
vincente	V IH N CH EH N T IY 
wadsworth	W AA D Z W ER TH 
warfield	W AO R F IY L D 
weavers	W IY V ER Z 
windfall	W IH N D F AO L 
withstood	W IH TH S T UH D 
xenon	Z IY N AA N 
zippers	Z IH P ER Z 
zuk	Z AH K 
abso	AE B S OW 
admin	AE D M IH N 
afterall	AE F T ER AA L 
agitate	AE JH AH T EY T 
aileen	AY L IY N 
aimless	EY M L AH S 
airlift	EH R L IH F T 
airmail	EH R M EY L 
amie	AE M IY 
ammonium	AH M OW N IY AH M 
animate	AE N AH M AH T 
annabella	AE N AH B EH L AH 
arbiter	AA R B IH T ER 
archdiocese	AA R CH D AY AH S AH S 
attaches	AH T AE CH IH Z 
auerbach	AW ER B AA K 
automation	AO T AH M EY SH AH N 
bagby	B AE G B IY 
bartolomeo	B AA R T AO L AH M EY OW 
basilica	B AH S IH L IH K AH 
beekeeper	B IY K IY P ER 
bernardino	B ER N AH D IY N OW 
biographer	B AY AA G R AH F ER 
blouses	B L AW S AH Z 
boake	B OW K 
booed	B UW D 
bookstores	B UH K S T AO R Z 
boroff	B AO R AO F 
brantley	B R AE N T L IY 
brasil	B R AE S AH L 
bressler	B R EH S L ER 
brokerage	B R OW K ER IH JH 
bronc	B R AA NG K 
bumpers	B AH M P ER Z 
calabrese	K AA L AA B R EY Z IY 
campanella	K AE M P AH N EH L AH 
canvassing	K AE N V AH S IH NG 
capitalistic	K AE P IH T AH L IH S T IH K 
chafing	CH EY F IH NG 
chilton	CH IH L T AH N 
clamour	K L AE M ER 
coli	K OW L IY 
concluding	K AH N K L UW D IH NG 
condescend	K AA N D IH S EH N D 
coppola	K OW P OW L AH 
corman	K AO R M AH N 
corrosive	K ER OW S IH V 
covent	K AH V AH N T 
cranny	K R AE N IY 
croix	K R OY 
crucifixes	K R UW S AH F IH K S IH Z 
cuddled	K AH D AH L D 
cuttings	K AH T IH NG Z 
cyclical	S AY K L IH K AH L 
dagan	D EY G AH N 
dalrymple	D AE L R IH M P AH L 
defibrillator	D IY F IH B R IH L EY T ER 
deplore	D IH P L AO R 
devoting	D IH V OW T IH NG 
directional	D ER EH K SH AH N AH L 
disapproved	D IH S AH P R UW V D 
disguising	D IH S G AY Z IH NG 
dispensation	D IH S P AH N S EY SH AH N 
dramatize	D R AA M AH T AY Z 
dubbing	D AH B IH NG 
embolism	EH M B OW L IH Z AH M 
emissaries	EH M AH S EH R IY Z 
emulate	EH M Y AH L EY T 
endorsements	EH N D AO R S M AH N T S 
enforcing	EH N F AO R S IH NG 
ensuing	EH N S UW IH NG 
enthusiastically	IH N TH UW Z IY AE S T IH K L IY 
erotica	IH R AA T IH K AH 
essie	EH S IY 
etruscan	IH T R AH S K AH N 
fabre	F EY B ER 
falstaff	F AO L S T AE F 
fidget	F IH JH IH T 
friendlier	F R EH N D L IY ER 
gangbangers	G AE NG B AE NG G ER Z 
gautier	G AW T IY ER 
geri	JH EH R IY 
gimmicks	G IH M IH K S 
globes	G L OW B Z 
golfers	G AA L F ER Z 
grouping	G R UW P IH NG 
gummi	G AH M IY 
hapless	HH AE P L AH S 
haskins	HH AE S K IH N Z 
hauls	HH AO L Z 
hawker	HH AO K ER 
healthiest	HH EH L TH IY IH S T 
heaters	HH IY T ER Z 
heine	HH AY N 
heralds	HH EH R AH L D Z 
highlighted	HH AY L AY T IH D 
horseradish	HH AO R S R AE D IH SH 
hunnicutt	HH AH N IH K AH T 
hyperactive	HH AY P ER AE K T IH V 
iffy	IH F IY 
immeasurable	IH M EH ZH ER AE B AH L 
immobile	IH M OW B AH L 
immovable	IH M UW V AH B AH L 
impassable	IH M P AE S AH B AH L 
inconsistencies	IH NG K AA N S IH S T EH N S IY Z 
indisputable	IH N D IH S P Y UW T AH B AH L 
inebriated	IH N EH B R IY EY T AH D 
intensify	IH N T EH N S IH F AY 
ione	AY OW N IY 
jacinta	JH AH S IH N T AH 
joshi	JH OW SH IY 
kennels	K EH N AH L Z 
krull	K R AH L 
kurdistan	K ER D IH S T AE N 
laker	L EY K ER 
langlois	L AH NG L W AA 
latinos	L AA T IY N OW S 
laury	L AO R IY 
leasing	L IY S IH NG 
levee	L EH V IY 
loiter	L OY T ER 
machen	M AE K AH N 
mallow	M AE L OW 
medley	M EH D L IY 
militias	M AH L IH SH AH Z 
milosevic	M IH L OW S AH V IH K 
montezuma	M AA N T EH Z UW M AH 
nes	N EH S 
neuman	N UW M AH N 
neutered	N UW T ER D 
ngai	G AY 
node	N OW D 
northerners	N AO R DH ER N ER Z 
nov	N OW V 
nuances	N UW AA N S IH Z 
objectionable	AH B JH EH K SH AH N AH B AH L 
obstinacy	AA B S T AH N AH S IY 
oder	OW D ER 
orientals	AO R IY EH N T AH L Z 
orphanages	AO R F AH N IH JH IH Z 
overzealous	OW V ER Z EH L AH S 
pairing	P EH R IH NG 
parenthood	P EH R AH N T HH UH D 
pathos	P EY TH AA S 
peacekeeper	P IY S K IY P ER 
pedaling	P EH D AH L IH NG 
pembroke	P EH M B R OW K 
pinks	P IH NG K S 
ploughed	P L AW D 
polygamy	P AH L IH G AH M IY 
porker	P AO R K ER 
posses	P AA S IY Z 
prenatal	P R IY N EY T AH L 
pretoria	P R IY T AO R IY AH 
preys	P R EY Z 
profiting	P R AA F AH T IH NG 
pukes	P Y UW K S 
puneet	P UW N IY T 
punisher	P AH N IH SH ER 
racquet	R AE K IH T 
raincoats	R EY N K OW T S 
randa	R AA N D AH 
redesign	R IY D IH Z AY N 
reorganize	R IY AO R G AH N AY Z 
reservoirs	R EH Z ER V W AA R Z 
resorted	R IH Z AO R T IH D 
retrograde	R EH T R AH G R EY D 
rogelio	R OW G IY L IY OW 
roi	R OY 
roni	R OW N IY 
ruffles	R AH F AH L Z 
rustler	R AH S L ER 
sams	S AE M Z 
santoro	S AE N T AO R OW 
saudis	S AO D IY Z 
screenings	S K R IY N IH NG Z 
scrounging	S K R AW N JH IH NG 
settler	S EH T AH L ER 
severin	S EH V ER IH N 
shimon	SH IY M OW N 
shrank	SH R AE NG K 
skepticism	S K EH P T IH S IH Z AH M 
skeptics	S K EH P T IH K S 
skidding	S K IH D IH NG 
slung	S L AH NG 
sofas	S OW F AH Z 
spawning	S P AA N IH NG 
speculative	S P EH K Y AH L AH T IH V 
speeded	S P IY D IH D 
squandering	S K W AA N D ER IH NG 
stadiums	S T EY D IY AH M Z 
sunspots	S AH N S P AA T S 
swooped	S W UW P T 
tackles	T AE K AH L Z 
taku	T AA K UW 
talky	T AO K IY 
tamales	T AH M AA L IY Z 
teheran	T EH HH ER AA N 
thomason	TH AA M AH S AH N 
thyroid	TH AY R OY D 
tiber	T AY B ER 
tibetans	T AH B EH T AH N Z 
toiled	T OY L D 
torrez	T AO R EH Z 
trackers	T R AE K ER Z 
trine	T R AY N 
turtleneck	T ER T AH L N EH K 
tuxedos	T AH K S IY D OW Z 
tyrannosaurus	T IH R AE N AH S AO R AH S 
unsightly	AH N S AY T L IY 
uplift	AH P L IH F T 
usurped	Y UW S ER P T 
vashti	V AE SH T IY 
venezuelan	V EH N IH Z W EY L AH N 
villiers	V IH L Y ER Z 
weaned	W IY N D 
weaves	W IY V Z 
wellbeing	W EH L B IY IH NG 
westerly	W EH S T ER L IY 
westphalen	W EH S T F AH L AH N 
wile	W AY L 
xhosa	Z OW SH AH 
yelena	Y EH L IH N AH 
yosemite	Y OW S EH M IH T IY 
zoltan	Z OW L T AH N 
abdicate	AE B D AH K EY T 
adder	AE D ER 
affidavits	AE F IH D EY V IH T S 
airfields	EH R F IY L D Z 
akio	AA K IY OW 
albin	AE L B IH N 
algonquin	AE L G AA NG K W IH N 
altitudes	AE L T IH T UW D Z 
amateurish	AE M AH CH ER IH SH 
anatomical	AE N AH T AA M IH K AH L 
annas	AE N AH Z 
annul	AE N AH L 
ano	AE N OW 
apologetic	AH P AA L AH JH EH T IH K 
arlena	AA R L IH N AH 
ascot	AE S K AA T 
assessed	AH S EH S T 
axed	AE K S T 
bally	B AE L IY 
baseless	B EY S L AH S 
beckoning	B EH K AH N IH NG 
beefing	B IY F IH NG 
berets	B EH R AH T S 
berliner	B ER L IH N ER 
betterment	B EH T ER M AH N T 
bhopal	B OW P AA L 
biederman	B IY D ER M AH N 
biloxi	B AH L AH K S IY 
biographies	B AY AA G R AH F IY Z 
bludgeoned	B L AH JH AH N D 
bogan	B OW G AH N 
bogota	B OW G AH T AA 
bollinger	B AA L IH NG ER 
bonilla	B AH N IH L AH 
bookmaker	B UH K M EY K ER 
booms	B UW M Z 
boosting	B UW S T IH NG 
bracing	B R EY S IH NG 
braided	B R EY D IH D 
brisket	B R IH S K AH T 
bulgarians	B AH L G EH R IY AH N Z 
butterscotch	B AH T ER S K AA CH 
bylaws	B AY L AO Z 
canons	K AE N AH N Z 
carty	K AA R T IY 
caving	K EY V IH NG 
celled	S EH L D 
chapelle	SH AH P EH L 
chinchilla	CH IH N CH IH L AH 
chook	CH UH K 
cicely	S IH S AH L IY 
cinco	S IH NG K OW 
ciudad	S IY UW D AE D 
clapton	K L AE P T AH N 
collared	K AA L ER D 
comings	K AH M IH NG Z 
commercially	K AH M ER SH AH L IY 
conducive	K AH N D UW S IH V 
contradicted	K AA N T R AH D IH K T AH D 
corr	K AO R 
crackerjack	K R AE K ER JH AE K 
cramming	K R AE M IH NG 
cranberries	K R AE N B EH R IY Z 
cronin	K R OW N IH N 
cropper	K R AA P ER 
cuidado	K W IY D AE D OW 
dakar	D AA K AA R 
declines	D IH K L AY N Z 
deities	D IY AH T IY Z 
delfina	D EH L F IY N AH 
dentistry	D EH N T IH S T R IY 
depositors	D AH P AA Z IH T ER Z 
deregulation	D IY R EH G Y AH L EY SH AH N 
despondent	D IH S P AA N D AH N T 
devastate	D EH V AH S T EY T 
deville	D AH V IH L 
devotees	D EH V AH T IY Z 
diversify	D AY V ER S AH F AY 
doge	D OW JH 
dol	D AA L 
dreier	D R AY ER 
druggist	D R AH G IH S T 
dufour	D AH F UH R 
dyslexic	D IH S L EH K S IH K 
eckhart	EH K HH AA R T 
ejaculate	IH JH AE K Y UW L EY T 
embryos	EH M B R IY OW Z 
enthusiasts	EH N TH UW Z IY AE S T S 
erupts	IY R AH P T S 
examiners	IH G Z AE M IH N ER Z 
expenditures	IH K S P EH N D AH CH ER Z 
fabricate	F AE B R AH K EY T 
farnum	F AA R N AH M 
fenella	F EH N EH L AH 
ferns	F ER N Z 
ferries	F EH R IY Z 
fiedler	F IY D L ER 
filipinos	F IH L AH P IY N OW Z 
firmer	F ER M ER 
flutters	F L AH T ER Z 
flywheel	F L AY W IY L 
foregone	F AO R G AO N 
foxholes	F AA K S HH OW L Z 
frederico	F R EH D ER IY K OW 
friendliest	F R EH N D L IY AH S T 
gallup	G AE L AH P 
gardenia	G AA R D IY N Y AH 
gearing	G IH R IH NG 
goldstone	G OW L D S T OW N 
golightly	G OW L AY T L IY 
goodmorning	G UH D M AO R N IH NG 
grandmas	G R AE N D M AA Z 
grandpas	G R AE N D P AA Z 
harsher	HH AA R SH ER 
heroines	HH EH R OW AH N Z 
hitchhikers	HH IH CH HH AY K ER Z 
horner	HH AO R N ER 
hotdogs	HH AA T D AO G Z 
humanism	HH Y UW M AH N IH Z AH M 
hunks	HH AH NG K S 
hurries	HH ER IY Z 
immobilized	IH M OW B AH L AY Z D 
indecency	IH N D IY S AH N S IY 
indiscriminate	IH N D IH S K R IH M AH N AH T 
iscariot	IH S K EH R IY AH T 
janning	JH AE N IH NG 
jaunty	JH AO N T IY 
javelin	JH AE V AH L AH N 
jello	JH EH L OW 
justifying	JH AH S T AH F AY IH NG 
juveniles	JH UW V AH N AH L Z 
keener	K IY N ER 
kia	K IY ER 
komori	K OW M AO R IY 
kwak	K W AE K 
lackeys	L AE K IY Z 
laurette	L AO R EH T 
leafs	L IY F S 
lemay	L EH M EY 
leng	L EH NG 
lichtenstein	L IH K T AH N S T IY N 
liggett	L IH G IH T 
lipuma	L IY P UW M AH 
logue	L OW G 
longhorn	L AO NG HH AO R N 
longings	L AO NG IH NG Z 
lorries	L AO R IY Z 
loudspeakers	L AW D S P IY K ER Z 
luster	L AH S T ER 
macha	M AE CH AH 
macintyre	M AE K AH N T AY R 
madelyn	M AE D IH L IH N 
magnification	M AE G N AH F AH K EY SH AH N 
matchbook	M AE CH B UH K 
mcgowan	M AH G AW AH N 
mercies	M ER S IY Z 
mercifully	M ER S IH F AH L IY 
mesmerized	M EH Z M ER AY Z D 
metaphorical	M EH T AH F AO R IH K AH L 
micheline	M IH SH AH L AH N 
minstrels	M IH N S T R AH L Z 
moorish	M UH R IH SH 
mourns	M AO R N Z 
mundy	M AH N D IY 
muskie	M AH S K IY 
napier	N EY P IY ER 
natty	N AE T IY 
neel	N IY L 
nokes	N OW K S 
nonchalant	N AA N SH AH L AA N T 
northeastern	N AO R TH IY S T ER N 
notifying	N OW T AH F AY IH NG 
noting	N OW T IH NG 
nuance	N UW AA N S 
obliges	AH B L AY JH IH Z 
oct	AO K T 
operetta	AA P ER EH T AH 
outbid	AW T B IH D 
overflows	OW V ER F L OW Z 
overwork	OW V ER W ER K 
petitioned	P AH T IH SH AH N D 
phrasing	F R EY Z IH NG 
phu	F UW 
pillsbury	P IH L Z B EH R IY 
portela	P AO R T EH L AH 
postmark	P OW S T M AA R K 
pounced	P AW N S T 
predestined	P R IY D EH S T AH N D 
prominence	P R AA M AH N AH N S 
puri	P UH R IY 
quasar	K W EY Z AA R 
quicksilver	K W IH K S IH L V ER 
ratified	R AE T AH F AY D 
ream	R IY M 
reaping	R IY P IH NG 
reimbursed	R IY IH M B ER S T 
reparations	R EH P ER EY SH AH N Z 
repenting	R IH P EH N T IH NG 
repulse	R IY P AH L S 
rewrote	R IY R OW T 
rhinos	R AY N OW Z 
ribbit	R IH B IH T 
rittenhouse	R IH T AH N HH AW S 
rohypnol	R OW HH AY P N AO L 
roop	R UW P 
ryker	R AY K ER 
sandler	S AE N D L ER 
savory	S EY V ER IY 
schoolchildren	S K UW L CH IH L D R AH N 
scoured	S K AW ER D 
screenplays	S K R IY N P L EY Z 
seabed	S IY B EH D 
seagram	S IY G R AH M 
sevilla	S EH V IH L AH 
sforza	S F AO R Z AH 
shames	SH EY M Z 
shearing	SH IH R IH NG 
sheaves	SH IY V Z 
showgirls	SH OW G ER L Z 
sidewinder	S AY D W AY N D ER 
sieger	S IY G ER 
sikhs	S IY K S 
slackers	S L AE K ER Z 
sneaker	S N IY K ER 
sobibor	S OW B IY B AO R 
stealthy	S T EH L TH IY 
stiletto	S T AH L EH T OW 
stoller	S T OW L ER 
sunburned	S AH N B ER N D 
supposes	S AH P OW Z IH Z 
teary	T IH R IY 
temptress	T EH M P T R IH S 
terminating	T ER M AH N EY T IH NG 
traceable	T R EY S AH B AH L 
tran	T R AE N 
tristram	T R IH S T R AH M 
trumpeter	T R AH M P AH T ER 
tubing	T UW B IH NG 
tubular	T UW B Y AH L ER 
twiggy	T W IH G IY 
twitchell	T W IH CH AH L 
tyke	T AY K 
unclaimed	AH N K L EY M D 
unconcerned	AH N K AH N S ER N D 
ursus	ER S AH S 
uy	UW IY 
vacuuming	V AE K Y UW M IH NG 
vitally	V AY T AH L IY 
vivacious	V AH V EY SH AH S 
wackos	W AE K OW Z 
walkway	W AO K W EY 
wallaby	W AA L AH B IY 
whereupon	W EH R AH P AA N 
wight	W AY T 
williamsburg	W IH L Y AH M Z B ER G 
yano	Y AA N OW 
yentl	Y EH N T AH L 
yoshino	Y OW SH IY N OW 
zarek	Z AA R EH K 
aback	AH B AE K 
adobe	AH D OW B IY 
affiliate	AH F IH L IY EY T 
alamein	AE L AH M EY N 
amtrak	AE M T R AE K 
andreu	AE N D R UW 
angelika	AE N JH EH L IH K AH 
antler	AE N T L ER 
approving	AH P R UW V IH NG 
arkin	AA R K IH N 
attaching	AH T AE CH IH NG 
attentively	AH T EH N T IH V L IY 
awning	AA N IH NG 
baffle	B AE F AH L 
banked	B AE NG K T 
banque	B AE NG K 
barbers	B AA R B ER Z 
barth	B AA R TH 
belize	B EH L IY Z 
belleville	B AH L V IH L 
beltway	B EH L T W EY 
benigno	B EH N IY N Y OW 
berchtesgaden	B ER K T AH S G AA D AH N 
bluffed	B L AH F T 
boddy	B AA D IY 
bogdan	B AA G D AH N 
bonaventure	B AA N AH V EH N CH ER 
bonfires	B AA N F AY ER Z 
boni	B OW N IY 
boroughs	B ER OW Z 
bothersome	B AA DH ER S AH M 
bovine	B OW V AY N 
branko	B R AE NG K OW 
braved	B R EY V D 
breathlessly	B R EH TH L AH S L IY 
bridie	B R IH D IY 
bulimic	B Y UW L IH M IH K 
bullfighting	B UH L F AY T IH NG 
burros	B ER OW Z 
buxton	B AH K S T AH N 
caboodle	K AH B UW D AH L 
cancerous	K AE N S ER AH S 
capra	K AE P R AH 
carrasco	K AA R AA S K OW 
cask	K AE S K 
cay	K EY 
celts	S EH L T S 
cessna	S EH S N AH 
ches	CH EH S 
chide	CH AY D 
chippy	CH IH P IY 
chromium	K R OW M IY AH M 
civics	S IH V IH K S 
climates	K L AY M AH T S 
columnists	K AA L AH M N AH S T S 
compiling	K AH M P AY L IH NG 
complacency	K AH M P L EY S AH N S IY 
congregate	K AA NG G R AH G EY T 
consultations	K AA N S AH L T EY SH AH N Z 
cornish	K AO R N IH SH 
counterfeiting	K AW N T ER F IH T IH NG 
crevices	K R EH V AH S IH Z 
culley	K AH L IY 
czechoslovak	CH EH K AH S L OW V AA K 
dapper	D AE P ER 
deadlock	D EH D L AA K 
deerfield	D IH R F IY L D 
deign	D EY N 
depressants	D IH P R EH S AH N T S 
dignify	D IH G N AH F AY 
disavow	D IH S AH V AW 
discos	D IH S K OW Z 
discounted	D IH S K AW N T IH D 
disintegrating	D IH S IH N T AH G R EY T IH NG 
distorts	D IH S T AO R T S 
douglass	D AH G L AH S 
downy	D AW N IY 
drawbacks	D R AO B AE K S 
droop	D R UW P 
dubey	D AH B IY 
eases	IY Z IH Z 
effrontery	IH F R AH N T ER IY 
electricians	IH L EH K T R IH SH AH N Z 
electrifying	IH L EH K T R AH F AY IH NG 
elocution	EH L AH K Y UW SH AH N 
embezzling	IH M B EH Z AH L IH NG 
enthralled	EH N TH R AO L D 
erections	IH R EH K SH AH N Z 
erickson	EH R IH K S AH N 
eurasian	Y UH R EY ZH IH N 
exasperating	IH G Z AE S P ER EY T IH NG 
extremities	EH K S T R EH M AH T IY Z 
farr	F AA R 
financials	F AY N AE N SH AH L Z 
flared	F L EH R D 
flitting	F L IH T IH NG 
foxx	F AA K S 
freighters	F R EY T ER Z 
gallantly	G AE L AH N T L IY 
giorgia	JH AO R JH AH 
glowed	G L OW D 
grandi	G R AE N D IY 
greenbacks	G R IY N B AE K S 
grose	G R OW Z 
hamada	HH AA M AA D AH 
hemmed	HH EH M D 
hermaphrodite	HH ER M AE F R AH D AY T 
hetman	HH EH T M AH N 
hibernate	HH AY B ER N EY T 
holbrook	HH OW L B R UH K 
hollowed	HH AA L OW D 
huerta	HH W EH R T AH 
humanist	HH Y UW M AH N IH S T 
hunched	HH AH N CH T 
huntsman	HH AH N T S M AH N 
hurriedly	HH ER IY D L IY 
hyman	HH AY M AH N 
ices	AY S AH Z 
ident	AY D EH N T 
ignoble	IH G N OW B AH L 
illuminates	IH L UW M AH N EY T S 
impasse	IH M P AE S 
impregnate	IH M P R EH G N EY T 
insofar	IH N S AH F AA R 
interceptor	IH N T ER S EH P T ER 
interminable	IH N T ER M AH N AH B AH L 
intervening	IH N T ER V IY N IH NG 
iphone	AY F OW N 
jacque	ZH EY K 
jesters	JH EH S T ER Z 
jonestown	JH OW N Z T AW N 
karras	K AE R AH Z 
keil	K IY L 
kellie	K EH L IY 
kenton	K EH N T AH N 
kesselring	K EH S IH L R IH NG 
kirsch	K ER SH 
lagos	L EY G AO S 
lapsed	L AE P S T 
laryngitis	L AA R IH N JH AY T AH S 
latrines	L AH T R IY N Z 
launchers	L AO N CH ER Z 
leapfrog	L IY P F R AO G 
legendre	L EH G IH N D R EY 
leprechauns	L EH P ER K AO N Z 
letdown	L EH T D AW N 
ligament	L IH G AH M AH N T 
livelier	L AY V L IY ER 
loring	L AO R IH NG 
louts	L AW T S 
lucretia	L UW K R IY SH AH 
lullabies	L AH L AH B AY Z 
manitoba	M AE N IH T OW B AH 
marais	M EH R EY 
marceau	M AA R S OW 
massingale	M AA S IH NG G AA L IY 
mckinnon	M AH K IH N AH N 
mealy	M IY L IY 
menzies	M EH N Z IY Z 
merman	M ER M AE N 
midlands	M IH D L AE N D Z 
midterms	M IH D T ER M Z 
misadventure	M IH S AH D V EH N CH ER 
molesters	M AH L EH S T ER Z 
morland	M AO R L AH N D 
morro	M AO R OW 
muntz	M AH N T S 
mystified	M IH S T AH F AY D 
nakahara	N AA K AA HH AA R AH 
neeley	N IY L IY 
nikes	N AY K S 
nonviolent	N AA N V AY AH L AH N T 
oolong	UW L AO NG 
otero	OW T EH R OW 
outflank	AW T F L AE NG K 
parochial	P ER OW K IY AH L 
partridges	P AA R T R IH JH IH Z 
paterson	P AE T ER S AH N 
peddlers	P EH D L ER Z 
pediatrics	P IY D IY AE T R IH K S 
pentothal	P EH N T AH TH AA L 
perelman	P EH R AH L M AH N 
pertains	P ER T EY N Z 
pessimism	P EH S AH M IH Z AH M 
pestered	P EH S T ER D 
pfizer	F AY Z ER 
pheromone	F EH R AH M OW N 
philby	F IH L B IY 
piecework	P IY S W ER K 
pinter	P AY N T ER 
pneumatic	N UW M AE T IH K 
polecat	P OW L K AE T 
polynesian	P AA L IH N IY ZH AH N 
preface	P R EH F AH S 
principled	P R IH N S AH P AH L D 
profusely	P R AH F Y UW S L IY 
pulsar	P UH L S ER 
pulverized	P AH L V ER AY Z D 
pundit	P AH N D AH T 
purebred	P Y UH R B R EH D 
quayle	K W EY L 
raked	R EY K T 
reactionaries	R IY AE K SH AH N EH R IY Z 
rectangular	R EH K T AE NG G Y AH L ER 
reeking	R IY K IH NG 
reforming	R IH F AO R M IH NG 
refrigeration	R IH F R IH JH ER EY SH AH N 
reiner	R AY N ER 
reptilian	R EH P T IH L Y AH N 
rescuers	R EH S K Y UW ER Z 
retention	R IY T EH N SH AH N 
rockford	R AA K F ER D 
rosey	R OW Z IY 
roused	R AW Z D 
saratoga	S EH R AH T OW G AH 
schloss	SH L AO S 
scone	S K OW N 
scorcher	S K AO R CH ER 
sculpting	S K AH L P T IH NG 
seeded	S IY D AH D 
shara	SH AA R AH 
shortening	SH AO R T AH N IH NG 
sneering	S N IH R IH NG 
softening	S AO F AH N IH NG 
sorbet	S AO R B EY 
spearhead	S P IH R HH EH D 
sprinkling	S P R IH NG K L IH NG 
stimuli	S T IH M Y AH L AY 
stirling	S T ER L IH NG 
stirrups	S T ER AH P S 
submachine	S AH B M AH SH IY N 
subsidize	S AH B S IH D AY Z 
substituting	S AH B S T IH T UW T IH NG 
sucre	S UW K ER 
sugary	SH UH G ER IY 
swirls	S W ER L Z 
swum	S W AH M 
tailpipe	T EY L P AY P 
tani	T AA N IY 
tarsus	T AA R S AH S 
tibia	T IH B IY AH 
toxicity	T AA K S IH S AH T IY 
traffickers	T R AE F IH K ER Z 
transom	T R AE N S AH M 
tuner	T UW N ER 
underside	AH N D ER S AY D 
unsigned	AH N S AY N D 
unsolicited	AH N S AH L IH S IH T IH D 
untoward	AH N T UW AO R D 
vex	V EH K S 
vitro	V IH T R OW 
weeding	W IY D IH NG 
weinstein	W AY N S T AY N 
widdle	W IH D AH L 
wields	W IY L D Z 
winton	W IH N T AH N 
wizardry	W IH Z ER D R IY 
wrung	R AH NG 
zara	Z AE R AH 
ziegler	Z IY G L ER 
abrasive	AH B R EY S IH V 
absentee	AE B S AH N T IY 
accosted	AH K AA S T AH D 
aime	EY M 
altimeter	AE L T IH M AH T ER 
amnesiac	AE M N IY Z IY AE K 
ane	EY N 
angers	AE NG G ER Z 
aperture	AE P ER CH ER 
app	AE P 
archetype	AA R K IH T AY P 
ariadne	EH R IY AE D N IY 
assessing	AH S EH S IH NG 
avner	AE V N ER 
ayers	AY ER Z 
backpacks	B AE K P AE K S 
backsides	B AE K S AY D Z 
baily	B EY L IY 
bangor	B AE NG G ER 
barbies	B AA R B IY Z 
barnell	B AA R N AH L 
bathurst	B AE TH ER S T 
beecham	B IY CH AH M 
benediction	B EH N AH D IH K SH AH N 
bick	B IH K 
blas	B L AA S 
bloomers	B L UW M ER Z 
boatload	B OW T L OW D 
borealis	B AO R IY AE L AH S 
bosko	B OW S K OW 
botch	B AA CH 
braga	B R AA G AH 
breaches	B R IY CH IH Z 
brickner	B R IH K N ER 
bridgeport	B R IH JH P AO R T 
briony	B R AY AH N IY 
brunton	B R AH N T AH N 
bullshitter	B UH L SH IH T ER 
buyout	B AY AW T 
calibrated	K AE L AH B R EY T AH D 
carjacking	K AA R JH AE K IH NG 
casimir	K AE S IH M IY R 
cellphones	S EH L F OW N Z 
chanted	CH AE N T IH D 
chiffon	SH IH F AA N 
cipriano	CH IY P R IY AA N OW 
citywide	S IH T IY W AY D 
commemorative	K AH M EH M R AH T IH V 
comprehensible	K AA M P R IY HH EH N S AH B AH L 
contested	K AH N T EH S T AH D 
convalescent	K AA N V AH L EH S AH N T 
coors	K UW R Z 
courageously	K ER EY JH AH S L IY 
cranked	K R AE NG K T 
cray	K R EY 
cryogenic	K R AY AH JH EH N IH K 
customized	K AH S T AH M AY Z D 
czerny	CH ER N IY 
dais	D EY Z 
darien	D EH R IY AH N 
debs	D EH B Z 
deen	D IY N 
deepens	D IY P AH N Z 
defrost	D IH F R AO S T 
detours	D IH T UH R Z 
dialectic	D AY AH L EH K T IH K 
dimmed	D IH M D 
disputed	D IH S P Y UW T AH D 
diversionary	D AY V ER ZH AH N EH R IY 
docs	D AA K S 
dorinda	D AO R IY N D AH 
dreyer	D R EY ER 
easel	IY Z AH L 
effortlessly	EH F ER T L AH S L IY 
electrics	IH L EH K T R IH K S 
elks	EH L K S 
emitted	IH M IH T AH D 
emmerich	EH M ER IH K 
empathize	EH M P AH TH AY Z 
endangerment	EH N D EY N JH ER M AH N T 
engels	EH NG G AH L Z 
evaluating	IH V AE L Y UW EY T IH NG 
excellencies	EH K S L EH N S IY Z 
exponentially	EH K S P OW N EH N SH AH L IY 
exquisitely	EH K S K W IH Z IH T L IY 
extracts	EH K S T R AE K T S 
fastidious	F AE S T IH D IY AH S 
feld	F EH L D 
fertilize	F ER T AH L AY Z 
flanked	F L AE NG K T 
flaubert	F L AW B ER T 
fossilized	F AA S AH L AY Z D 
fractional	F R AE K SH AH N AH L 
frequented	F R IY K W AH N T IH D 
gables	G EY B AH L Z 
gallic	G AE L IH K 
gath	G AE TH 
glitches	G L IH CH IH Z 
globally	G L OW B AH L IY 
gobbler	G AA B AH L ER 
guffaws	G AH F AO Z 
gummy	G AH M IY 
hander	HH AE N D ER 
harrowing	HH EH R OW IH NG 
hazeltine	HH EY Z AH L T AY N 
hazing	HH EY Z IH NG 
hegel	HH EH G AH L 
hellman	HH EH L M AH N 
herders	HH ER D ER Z 
herrings	HH EH R IH NG Z 
hewes	HH Y UW Z 
hijacker	HH AY JH AE K ER 
hitchhiked	HH IH CH HH AY K T 
honed	HH OW N D 
hoopla	HH UW P L AA 
hummel	HH AH M AH L 
husk	HH AH S K 
hysterectomy	HH IH S T ER EH K T AH M IY 
illustrator	IH L AH S T R EY T ER 
indiscriminately	IH N D IH S K R IH M AH N AH T L IY 
inexperience	IH N IH K S P IH R IY AH N S 
inhalation	IH N HH AH L EY SH AH N 
innocuous	IH N AA K Y UW AH S 
